,Env,wrtSeason,River,iter,dNdt
117,Flow,Summer,Westbrook,7,4.913254757
118,Flow,Summer,Westbrook,8,5.395345754
119,Flow,Summer,Westbrook,9,5.960500574
120,Flow,Summer,Westbrook,10,6.629895759
121,Flow,Winter,Jimmy,1,0.129913114
122,Flow,Winter,Jimmy,2,0.351441224
123,Flow,Winter,Jimmy,3,0.629907152
124,Flow,Winter,Jimmy,4,0.962386382
125,Flow,Winter,Jimmy,5,1.348112851
126,Flow,Winter,Jimmy,6,1.788608386
127,Flow,Winter,Jimmy,7,2.286800696
128,Flow,Winter,Jimmy,8,2.84067011
129,Flow,Winter,Jimmy,9,3.415414456
130,Flow,Winter,Jimmy,10,3.848017763
131,Flow,Winter,Mitchell,1,1.594918224
132,Flow,Winter,Mitchell,2,1.650354118
133,Flow,Winter,Mitchell,3,1.70096366
134,Flow,Winter,Mitchell,4,1.734031019
135,Flow,Winter,Mitchell,5,1.734438093
136,Flow,Winter,Mitchell,6,1.687737894
137,Flow,Winter,Mitchell,7,1.585314824
138,Flow,Winter,Mitchell,8,1.429970519
139,Flow,Winter,Mitchell,9,1.237100444
140,Flow,Winter,Mitchell,10,1.026281552
141,Flow,Winter,Obear,1,0.367815105
142,Flow,Winter,Obear,2,0.363123735
143,Flow,Winter,Obear,3,0.401006327
144,Flow,Winter,Obear,4,0.483590178
145,Flow,Winter,Obear,5,0.611198203
146,Flow,Winter,Obear,6,0.782635769
147,Flow,Winter,Obear,7,0.995993614
148,Flow,Winter,Obear,8,1.25003399
149,Flow,Winter,Obear,9,1.546388453
150,Flow,Winter,Obear,10,1.893282875
151,Flow,Winter,Westbrook,1,1.190368794
152,Flow,Winter,Westbrook,2,1.768452735
153,Flow,Winter,Westbrook,3,2.31381355
154,Flow,Winter,Westbrook,4,2.818494485
155,Flow,Winter,Westbrook,5,3.28128216
156,Flow,Winter,Westbrook,6,3.701496704
157,Flow,Winter,Westbrook,7,4.077363275
158,Flow,Winter,Westbrook,8,4.407958969
159,Flow,Winter,Westbrook,9,4.696621179
160,Flow,Winter,Westbrook,10,4.943839235
161,Temp,Autumn,Jimmy,1,-0.383866781
162,Temp,Autumn,Jimmy,2,-0.390260897
163,Temp,Autumn,Jimmy,3,-0.501126166
164,Temp,Autumn,Jimmy,4,-0.720235569
165,Temp,Autumn,Jimmy,5,-1.079688893
166,Temp,Autumn,Jimmy,6,-1.65369062
167,Temp,Autumn,Jimmy,7,-2.581705957
168,Temp,Autumn,Jimmy,8,-4.088885384
169,Temp,Autumn,Jimmy,9,-6.419478393
170,Temp,Autumn,Jimmy,10,-9.324772909
171,Temp,Autumn,Mitchell,1,-1.796678858
172,Temp,Autumn,Mitchell,2,-2.100715053
173,Temp,Autumn,Mitchell,3,-2.325912398
174,Temp,Autumn,Mitchell,4,-2.426170546
175,Temp,Autumn,Mitchell,5,-2.37831526
176,Temp,Autumn,Mitchell,6,-2.197201317
177,Temp,Autumn,Mitchell,7,-1.938158436
178,Temp,Autumn,Mitchell,8,-1.678805968
179,Temp,Autumn,Mitchell,9,-1.480718591
180,Temp,Autumn,Mitchell,10,-1.340073982
181,Temp,Autumn,Obear,1,-0.336947393
182,Temp,Autumn,Obear,2,-0.537842411
183,Temp,Autumn,Obear,3,-0.764459585
184,Temp,Autumn,Obear,4,-1.017525954
185,Temp,Autumn,Obear,5,-1.297444391
186,Temp,Autumn,Obear,6,-1.60471573
187,Temp,Autumn,Obear,7,-1.940634651
188,Temp,Autumn,Obear,8,-2.308339258
189,Temp,Autumn,Obear,9,-2.714405964
190,Temp,Autumn,Obear,10,-3.171548099
191,Temp,Autumn,Westbrook,1,0.175620865
192,Temp,Autumn,Westbrook,2,0.007578878
193,Temp,Autumn,Westbrook,3,-0.211849459
194,Temp,Autumn,Westbrook,4,-0.487907813
195,Temp,Autumn,Westbrook,5,-0.825845768
196,Temp,Autumn,Westbrook,6,-1.235049654
197,Temp,Autumn,Westbrook,7,-1.737781102
198,Temp,Autumn,Westbrook,8,-2.381809359
199,Temp,Autumn,Westbrook,9,-3.244753594
200,Temp,Autumn,Westbrook,10,-4.370958786
201,Temp,Spring,Jimmy,1,-0.538390409
202,Temp,Spring,Jimmy,2,-0.554794707
203,Temp,Spring,Jimmy,3,-0.572294916
204,Temp,Spring,Jimmy,4,-0.586386436
205,Temp,Spring,Jimmy,5,-0.590121232
206,Temp,Spring,Jimmy,6,-0.572193075
207,Temp,Spring,Jimmy,7,-0.512629443
208,Temp,Spring,Jimmy,8,-0.372538711
209,Temp,Spring,Jimmy,9,-0.070497465
210,Temp,Spring,Jimmy,10,0.551977198
211,Temp,Spring,Mitchell,1,-0.50447122
212,Temp,Spring,Mitchell,2,-0.526125188
213,Temp,Spring,Mitchell,3,-0.537096203
214,Temp,Spring,Mitchell,4,-0.528034935
215,Temp,Spring,Mitchell,5,-0.487793639
216,Temp,Spring,Mitchell,6,-0.405387592
217,Temp,Spring,Mitchell,7,-0.273821992
218,Temp,Spring,Mitchell,8,-0.094735431
219,Temp,Spring,Mitchell,9,0.120177658
220,Temp,Spring,Mitchell,10,0.354253954
221,Temp,Spring,Obear,1,-0.447193998
222,Temp,Spring,Obear,2,-0.456552301
223,Temp,Spring,Obear,3,-0.469583193
224,Temp,Spring,Obear,4,-0.486488129
225,Temp,Spring,Obear,5,-0.507796254
226,Temp,Spring,Obear,6,-0.534489817
227,Temp,Spring,Obear,7,-0.568229847
228,Temp,Spring,Obear,8,-0.611769675
229,Temp,Spring,Obear,9,-0.669753229
230,Temp,Spring,Obear,10,-0.750391872
231,Temp,Spring,Westbrook,1,1.784118618
232,Temp,Spring,Westbrook,2,1.615557973
233,Temp,Spring,Westbrook,3,1.417124141
234,Temp,Spring,Westbrook,4,1.214308086
235,Temp,Spring,Westbrook,5,1.056342831
236,Temp,Spring,Westbrook,6,1.015341777
237,Temp,Spring,Westbrook,7,1.179953493
238,Temp,Spring,Westbrook,8,1.64523123
239,Temp,Spring,Westbrook,9,2.506098792
240,Temp,Spring,Westbrook,10,3.866799995
241,Temp,Summer,Jimmy,1,-7.773060894
242,Temp,Summer,Jimmy,2,-7.976871731
243,Temp,Summer,Jimmy,3,-8.298335801
244,Temp,Summer,Jimmy,4,-8.761357902
245,Temp,Summer,Jimmy,5,-9.403819915
246,Temp,Summer,Jimmy,6,-10.28103678
247,Temp,Summer,Jimmy,7,-11.46829652
248,Temp,Summer,Jimmy,8,-13.04926744
249,Temp,Summer,Jimmy,9,-15.02728402
250,Temp,Summer,Jimmy,10,-16.92804509
251,Temp,Summer,Mitchell,1,-11.76919876
252,Temp,Summer,Mitchell,2,-12.12207859
253,Temp,Summer,Mitchell,3,-12.42159157
254,Temp,Summer,Mitchell,4,-12.58606325
255,Temp,Summer,Mitchell,5,-12.51282813
256,Temp,Summer,Mitchell,6,-12.0955665
257,Temp,Summer,Mitchell,7,-11.26210155
258,Temp,Summer,Mitchell,8,-10.02393289
259,Temp,Summer,Mitchell,9,-8.499378828
260,Temp,Summer,Mitchell,10,-6.865826105
261,Temp,Summer,Obear,1,-7.497851925
262,Temp,Summer,Obear,2,-8.150661845
263,Temp,Summer,Obear,3,-8.962380657
264,Temp,Summer,Obear,4,-9.980043804
265,Temp,Summer,Obear,5,-11.26735137
266,Temp,Summer,Obear,6,-12.91227732
267,Temp,Summer,Obear,7,-15.03908871
268,Temp,Summer,Obear,8,-17.82830592
269,Temp,Summer,Obear,9,-21.55214663
270,Temp,Summer,Obear,10,-26.64339558
271,Temp,Summer,Westbrook,1,-14.85751922
272,Temp,Summer,Westbrook,2,-15.04646866
273,Temp,Summer,Westbrook,3,-15.4853928
274,Temp,Summer,Westbrook,4,-16.15432915
275,Temp,Summer,Westbrook,5,-17.03225127
276,Temp,Summer,Westbrook,6,-18.08851912
277,Temp,Summer,Westbrook,7,-19.27826076
278,Temp,Summer,Westbrook,8,-20.5509919
279,Temp,Summer,Westbrook,9,-21.87651985
280,Temp,Summer,Westbrook,10,-23.24080573
281,Temp,Winter,Jimmy,1,-0.829566144
282,Temp,Winter,Jimmy,2,-0.96136782
283,Temp,Winter,Jimmy,3,-1.060930303
284,Temp,Winter,Jimmy,4,-1.133776529
285,Temp,Winter,Jimmy,5,-1.185743649
286,Temp,Winter,Jimmy,6,-1.224081113
287,Temp,Winter,Jimmy,7,-1.259292472
288,Temp,Winter,Jimmy,8,-1.309192931
289,Temp,Winter,Jimmy,9,-1.407442973
290,Temp,Winter,Jimmy,10,-1.609412383
291,Temp,Winter,Mitchell,1,-1.869005169
292,Temp,Winter,Mitchell,2,-1.898755712
293,Temp,Winter,Mitchell,3,-1.905111152
294,Temp,Winter,Mitchell,4,-1.878260607
295,Temp,Winter,Mitchell,5,-1.808855842
296,Temp,Winter,Mitchell,6,-1.691040442
297,Temp,Winter,Mitchell,7,-1.5267191
298,Temp,Winter,Mitchell,8,-1.329321067
299,Temp,Winter,Mitchell,9,-1.123303664
300,Temp,Winter,Mitchell,10,-0.93692132
301,Temp,Winter,Obear,1,-1.306544654
302,Temp,Winter,Obear,2,-1.251368095
303,Temp,Winter,Obear,3,-1.167625974
304,Temp,Winter,Obear,4,-1.058626274
305,Temp,Winter,Obear,5,-0.929024704
306,Temp,Winter,Obear,6,-0.784827784
307,Temp,Winter,Obear,7,-0.633019331
308,Temp,Winter,Obear,8,-0.480847207
309,Temp,Winter,Obear,9,-0.334781164
310,Temp,Winter,Obear,10,-0.198999596
311,Temp,Winter,Westbrook,1,-3.465105141
312,Temp,Winter,Westbrook,2,-3.295984105
313,Temp,Winter,Westbrook,3,-3.2202193
314,Temp,Winter,Westbrook,4,-3.235233416
315,Temp,Winter,Westbrook,5,-3.335539921
316,Temp,Winter,Westbrook,6,-3.513830241
317,Temp,Winter,Westbrook,7,-3.761495857
318,Temp,Winter,Westbrook,8,-4.071427533
319,Temp,Winter,Westbrook,9,-4.445940239
320,Temp,Winter,Westbrook,10,-4.909353703
